"miRTarBase ID","miRNA","Species (miRNA)","Target Gene","Target Gene (Entrez ID)","Species (Target Gene)","Experiments","Support Type","References (PMID)"
"MIRT438180","dre-miR-219-5p","Danio rerio","prkci","117507","Danio rerio","GFP reporter assay//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR","Functional MTI","24239515"
"MIRT438181","dre-miR-219-5p","Danio rerio","pard3ab","403050","Danio rerio","GFP reporter assay//Immunohistochemistry//In situ hybridization//Luciferase reporter assay//qRT-PCR","Functional MTI","24239515"
"MIRT438581","dre-miR-9-5p","Danio rerio","foxp2","555242","Danio rerio","In situ hybridization//qRT-PCR","Functional MTI (Weak)","23800254"
"MIRT438588","dre-miR-199-5p","Danio rerio","cav1","323695","Danio rerio","ChIP-seq//FACS//Immunofluorescence//Immunohistochemistry//Microarray//qRT-PCR//Western blot","Functional MTI","23764775"
"MIRT438589","dre-miR-199-5p","Danio rerio","gsk3b","30654","Danio rerio","ChIP-seq//FACS//Immunofluorescence//Immunohistochemistry//Microarray//qRT-PCR//Western blot","Functional MTI","23764775"
"MIRT438590","dre-miR-199-5p","Danio rerio","fzd4","30363","Danio rerio","ChIP-seq//FACS//Immunofluorescence//Immunohistochemistry//Microarray//qRT-PCR//Western blot","Functional MTI","23764775"
"MIRT438591","dre-miR-199-5p","Danio rerio","wnt2","30127","Danio rerio","ChIP-seq//FACS//Immunofluorescence//Immunohistochemistry//Microarray//qRT-PCR//Western blot","Functional MTI","23764775"
"MIRT438592","dre-miR-199-5p","Danio rerio","jag1b","140423","Danio rerio","ChIP-seq//FACS//Immunofluorescence//Immunohistochemistry//Microarray//qRT-PCR//Western blot","Functional MTI","23764775"
"MIRT731844","dre-miR-126a-3p","Danio rerio","cxcl12a","352944","Danio rerio","GFP Reporter Assay//Immunohistochemistry//In situ hybridization//qRT-PCR","Functional MTI (Weak)","27789478"
"MIRT732660","dre-miR-9-5p","Danio rerio","foxg1a","30274","Danio rerio","Western blot","Functional MTI","25937343"
"MIRT732661","dre-miR-200a-3p","Danio rerio","foxg1a","30274","Danio rerio","Western blot","Functional MTI","25937343"
"MIRT733461","dre-miR-29b","Danio rerio","layna","564995","Danio rerio","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","26265132"
"MIRT733463","dre-miR-29b","Danio rerio","zgc:65851","321113","Danio rerio","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","26265132"
"MIRT733464","dre-miR-29b","Danio rerio","eva1a","767647","Danio rerio","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","26265132"
"MIRT733465","dre-miR-29b","Danio rerio","nefmb","100033387","Danio rerio","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","26265132"
"MIRT733466","dre-miR-29b","Danio rerio","si:ch211-51a6.2","562156","Danio rerio","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","26265132"
"MIRT733467","dre-miR-223","Danio rerio","smoc1","100529120","Danio rerio","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","26265132"
"MIRT733468","dre-miR-223","Danio rerio","si:ch211-153b23.5","321177","Danio rerio","Luciferase reporter assay//Microarray//qRT-PCR","Functional MTI","26265132"
"MIRT734365","dre-miR-142a-3p","Danio rerio","tp53","30590","Danio rerio","Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","27462426"
"MIRT734570","dre-miR-1","Danio rerio","mef2aa","30564","Danio rerio","qRT-PCR","Functional MTI (Weak)","26476318"
"MIRT734649","dre-miR-155","Danio rerio","cyb561d2","450082","Danio rerio","Luciferase reporter assay//qRT-PCR//Western blot","Functional MTI","25532856"
"MIRT735535","dre-miR-216b","Danio rerio","cyb561d2","450082","Danio rerio","Luciferase reporter assay","Functional MTI","27267425"
"MIRT735536","dre-miR-499-5p","Danio rerio","cyb561d2","450082","Danio rerio","Luciferase reporter assay","Functional MTI","27267425"
